,Unnamed: 0,From Date,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),NO2 (ug/m3)
14528,16785,2021-01-01 02:00:00,53.64,94.12,14.14,0.8,2.29,11.55
14529,16786,2021-01-01 03:00:00,47.29,84.74,13.6,0.81,2.25,12.03
14530,16787,2021-01-01 04:00:00,46.46,74.6,11.74,0.8,2.28,12.1
14531,16788,2021-01-01 05:00:00,39.32,66.39,11.99,0.81,2.3,12.45
14532,16789,2021-01-01 06:00:00,39.66,64.98,12.2,0.81,2.3,12.4
14533,16790,2021-01-01 07:00:00,37.37,63.31,12.31,0.82,3.42,13.99
14534,16791,2021-01-01 08:00:00,40.38,65.92,12.92,0.83,9.36,13.49
14535,16792,2021-01-01 09:00:00,41.96,66.86,15.33,0.82,17.57,12.47
14536,16793,2021-01-01 10:00:00,45.87,78.74,15.35,0.81,25.33,13.15
14537,16794,2021-01-01 11:00:00,44.2,79.22,14.76,0.81,32.33,13.16
14538,16795,2021-01-01 12:00:00,48.47,90.56,14.06,0.81,35.95,14.15
14539,16796,2021-01-01 13:00:00,49.17,92.64,17.36,0.82,38.32,14.74
14540,16797,2021-01-01 14:00:00,52.58,91.15,16.26,0.82,20.04,16.8
14541,16798,2021-01-01 15:00:00,50.44,87.68,15.34,0.83,33.27,17.48
14542,16799,2021-01-01 16:00:00,50.55,86.21,11.96,0.83,28.68,21.52
14543,16800,2021-01-01 17:00:00,51.15,91.74,15.0,0.88,19.27,28.97
14544,16801,2021-01-01 18:00:00,56.37,106.67,32.78,1.2,11.26,58.74
14545,16802,2021-01-01 19:00:00,62.61,136.52,22.34,1.01,5.32,42.66
14546,16803,2021-01-01 20:00:00,65.32,148.3,15.6,0.9,2.69,26.05
14547,16804,2021-01-01 21:00:00,65.88,141.12,15.5,0.89,2.23,23.92
14548,16805,2021-01-01 22:00:00,69.5,130.56,14.04,0.86,2.29,19.38
14549,16806,2021-01-01 23:00:00,61.36,117.99,13.28,0.85,2.29,17.58
14550,16807,2021-01-02 00:00:00,61.33,111.58,12.73,0.84,2.3,15.05
14551,16808,2021-01-02 01:00:00,56.16,105.17,13.24,0.84,2.31,17.02
14552,16809,2021-01-02 02:00:00,52.27,101.87,13.76,0.86,2.3,17.99
14553,16810,2021-01-02 03:00:00,55.48,99.57,13.99,0.85,2.28,18.48
14554,16811,2021-01-02 04:00:00,53.34,97.55,13.94,0.85,2.33,16.18
14555,16812,2021-01-02 05:00:00,56.08,100.96,14.63,0.85,2.3,17.07
14556,16813,2021-01-02 06:00:00,60.84,101.09,13.33,0.85,2.27,15.99
14557,16814,2021-01-02 07:00:00,55.86,98.97,14.29,0.88,3.15,20.54
14558,16815,2021-01-02 08:00:00,57.25,101.51,14.88,0.92,7.91,23.63
14559,16816,2021-01-02 09:00:00,59.49,102.03,16.87,0.94,14.2,25.34
14560,16817,2021-01-02 10:00:00,59.93,121.59,17.23,0.95,23.64,31.22
14561,16818,2021-01-02 11:00:00,63.34,143.01,17.31,0.89,31.62,26.46
14562,16819,2021-01-02 12:00:00,66.38,144.12,13.66,0.84,38.32,22.54
14563,16820,2021-01-02 13:00:00,61.49,114.23,18.97,0.84,38.29,23.01
14564,16821,2021-01-02 14:00:00,58.28,108.03,19.21,0.84,41.38,21.76
14565,16822,2021-01-02 15:00:00,54.76,104.24,18.47,0.82,37.58,21.46
14566,16823,2021-01-02 16:00:00,46.9,95.53,14.79,0.82,28.91,24.43
14567,16824,2021-01-02 17:00:00,45.68,88.58,14.36,0.85,20.14,32.93
14568,16825,2021-01-02 18:00:00,44.42,88.34,17.7,0.97,12.32,47.92
14569,16826,2021-01-02 19:00:00,36.01,95.46,19.24,1.01,9.03,51.85
14570,16827,2021-01-02 20:00:00,41.81,106.79,18.57,1.04,3.05,45.55
14571,16828,2021-01-02 21:00:00,46.41,115.34,21.0,0.98,1.99,35.68
14572,16829,2021-01-02 22:00:00,60.55,124.5,16.59,0.87,1.34,27.17
14573,16830,2021-01-02 23:00:00,60.59,108.43,13.9,0.86,1.37,25.31
14574,16831,2021-01-03 00:00:00,58.2,104.62,12.86,0.85,1.38,22.99
14575,16832,2021-01-03 01:00:00,58.2,103.8,12.02,0.87,1.36,24.11
14576,16833,2021-01-03 02:00:00,57.45,103.4,11.57,0.87,1.38,20.83
14577,16834,2021-01-03 03:00:00,51.28,96.0,11.0,0.85,1.38,25.48
14578,16835,2021-01-03 04:00:00,51.64,89.82,10.38,0.84,1.4,29.0
14579,16836,2021-01-03 05:00:00,45.62,86.3,10.97,0.85,1.39,22.74
14580,16837,2021-01-03 06:00:00,47.79,88.31,10.92,0.85,1.38,24.87
14581,16838,2021-01-03 07:00:00,49.89,86.82,12.78,0.9,1.37,30.11
14582,16839,2021-01-03 08:00:00,55.5,89.95,15.3,0.96,3.12,32.72
14583,16840,2021-01-03 09:00:00,69.61,113.87,20.04,0.94,17.95,28.46
14584,16841,2021-01-03 10:00:00,74.19,132.09,19.21,0.9,25.93,24.38
14585,16842,2021-01-03 11:00:00,69.08,129.37,14.47,0.84,31.84,18.46
14586,16843,2021-01-03 12:00:00,61.46,118.52,12.0,0.82,40.28,16.37
14587,16844,2021-01-03 13:00:00,51.99,94.56,11.98,0.82,40.3,15.78
14588,16845,2021-01-03 14:00:00,45.3,85.15,17.32,0.83,40.29,17.68
14589,16846,2021-01-03 15:00:00,42.58,80.08,19.95,0.84,40.31,17.44
14590,16847,2021-01-03 16:00:00,41.95,82.21,16.65,0.83,34.33,16.99
14591,16848,2021-01-03 17:00:00,40.84,80.31,17.31,0.87,22.64,26.66
14592,16849,2021-01-03 18:00:00,40.95,86.79,15.34,0.93,14.05,41.24
14593,16850,2021-01-03 19:00:00,38.45,101.91,17.96,0.99,5.15,46.41
14594,16851,2021-01-03 20:00:00,44.86,116.21,15.55,0.91,2.29,27.39
14595,16852,2021-01-03 21:00:00,49.22,117.7,14.73,0.92,1.56,23.33
14596,16853,2021-01-03 22:00:00,55.89,119.13,14.94,0.92,0.92,20.04
14597,16854,2021-01-03 23:00:00,63.68,125.61,13.36,0.9,0.93,20.56
14598,16855,2021-01-04 00:00:00,78.64,127.83,12.32,0.91,0.92,20.17
14599,16856,2021-01-04 01:00:00,76.75,129.37,13.11,0.91,0.93,19.52
14600,16857,2021-01-04 02:00:00,80.03,129.88,13.5,0.92,0.93,18.11
14601,16858,2021-01-04 03:00:00,82.57,128.1,13.2,0.92,0.92,19.19
14602,16859,2021-01-04 04:00:00,85.88,134.34,12.5,0.93,0.92,19.21
14603,16860,2021-01-04 05:00:00,89.22,129.71,13.01,0.93,0.91,20.57
14604,16861,2021-01-04 06:00:00,100.16,134.19,13.34,0.95,0.9,26.31
14605,16862,2021-01-04 07:00:00,100.03,140.33,15.19,0.99,3.0,29.43
14606,16863,2021-01-04 08:00:00,99.47,142.81,16.23,1.05,7.32,31.35
14607,16864,2021-01-04 09:00:00,85.0,157.8,18.21,1.04,17.24,32.66
14608,16865,2021-01-04 10:00:00,87.16,176.45,14.76,0.9,29.55,21.78
14609,16866,2021-01-04 11:00:00,75.17,149.7,13.63,0.85,36.88,16.61
14610,16867,2021-01-04 12:00:00,65.84,124.89,12.86,0.83,42.27,15.48
14611,16868,2021-01-04 13:00:00,52.86,112.03,14.59,0.84,50.37,18.17
14612,16869,2021-01-04 14:00:00,48.75,97.02,24.07,0.85,51.31,23.16
14613,16870,2021-01-04 15:00:00,43.35,97.13,38.28,0.86,46.47,26.67
14614,16871,2021-01-04 16:00:00,43.47,98.76,44.82,0.89,31.53,32.8
14615,16872,2021-01-04 17:00:00,46.21,108.74,32.43,0.94,21.49,35.35
14616,16873,2021-01-04 18:00:00,46.69,129.51,22.55,1.03,12.32,50.43
14617,16874,2021-01-04 19:00:00,52.89,145.28,23.7,1.15,8.14,57.57
14618,16875,2021-01-04 20:00:00,54.4,155.01,21.51,1.2,3.83,57.92
14619,16876,2021-01-04 21:00:00,59.55,170.81,24.97,1.2,2.04,55.2
14620,16877,2021-01-04 22:00:00,64.75,170.98,19.79,1.0,1.26,35.12
14621,16878,2021-01-04 23:00:00,65.49,173.53,15.71,0.93,1.25,24.84
14622,16879,2021-01-05 00:00:00,66.35,156.02,12.24,0.91,1.3,19.68
14623,16880,2021-01-05 01:00:00,64.5,140.84,12.7,0.9,1.27,19.04
14624,16881,2021-01-05 02:00:00,65.07,134.36,12.09,0.89,1.26,18.62
14625,16882,2021-01-05 03:00:00,63.13,127.25,12.05,0.9,1.24,18.77
14626,16883,2021-01-05 04:00:00,60.86,117.2,11.48,0.88,1.28,16.84
14627,16884,2021-01-05 05:00:00,62.27,118.44,12.64,0.88,1.25,17.88
14628,16885,2021-01-05 06:00:00,63.05,117.24,12.61,0.89,1.25,19.02
14629,16886,2021-01-05 07:00:00,61.09,113.77,13.28,0.91,1.69,26.77
14630,16887,2021-01-05 08:00:00,64.4,114.19,14.64,0.97,6.07,29.34
14631,16888,2021-01-05 09:00:00,71.25,135.9,17.99,1.02,18.82,32.09
14632,16889,2021-01-05 10:00:00,77.96,163.56,17.87,1.01,28.58,34.09
14633,16890,2021-01-05 11:00:00,80.3,182.51,14.8,0.93,34.24,24.44
14634,16891,2021-01-05 12:00:00,79.07,179.43,13.19,0.91,40.1,22.14
14635,16892,2021-01-05 13:00:00,73.36,164.31,15.91,0.91,43.33,19.91
14636,16893,2021-01-05 14:00:00,74.26,152.31,17.44,0.89,43.3,22.36
14637,16894,2021-01-05 15:00:00,70.05,133.31,16.4,0.89,43.3,23.24
14638,16895,2021-01-05 16:00:00,63.96,120.29,13.8,0.89,34.31,21.75
14639,16896,2021-01-05 17:00:00,60.75,120.73,14.75,0.9,22.97,22.11
14640,16897,2021-01-05 18:00:00,58.18,120.68,15.76,0.94,15.79,25.01
14641,16898,2021-01-05 19:00:00,60.52,119.45,15.07,0.95,8.27,19.07
14642,16899,2021-01-05 20:00:00,59.78,117.33,14.64,0.93,2.32,17.74
14643,16900,2021-01-05 21:00:00,59.45,117.0,13.14,0.91,2.29,15.16
14644,16901,2021-01-05 22:00:00,57.06,109.27,12.3,0.89,1.36,13.52
14645,16902,2021-01-05 23:00:00,55.54,101.84,11.9,0.89,0.93,14.23
14646,16903,2021-01-06 00:00:00,52.71,102.92,10.98,0.9,0.93,13.19
14647,16904,2021-01-06 01:00:00,56.62,100.12,11.04,0.89,0.93,13.09
14648,16905,2021-01-06 02:00:00,54.29,100.68,12.2,0.9,0.92,14.72
14649,16906,2021-01-06 03:00:00,55.48,102.07,12.53,0.9,0.93,13.55
14650,16907,2021-01-06 04:00:00,54.91,101.3,12.28,0.89,0.95,14.45
14651,16908,2021-01-06 05:00:00,54.33,101.78,12.48,0.9,0.91,15.0
14652,16909,2021-01-06 06:00:00,58.35,107.81,13.2,0.92,0.9,17.13
14653,16910,2021-01-06 07:00:00,58.87,107.15,15.42,0.97,0.92,22.45
14654,16911,2021-01-06 08:00:00,60.34,112.17,14.02,0.96,6.38,21.13
14655,16912,2021-01-06 09:00:00,60.83,124.88,13.22,0.92,18.64,19.95
14656,16913,2021-01-06 10:00:00,59.94,110.8,113.43,0.88,25.75,28.88
14657,16914,2021-01-06 11:00:00,55.97,108.18,120.58,0.85,35.67,22.29
14658,16915,2021-01-06 12:00:00,53.43,107.58,32.89,0.84,46.49,14.73
14659,16916,2021-01-06 13:00:00,55.04,110.52,26.64,0.83,49.31,12.84
14660,16917,2021-01-06 14:00:00,49.84,102.44,75.94,0.82,49.36,18.94
14661,16919,2021-01-06 16:00:00,42.17,84.5,18.87,0.83,37.85,18.75
14662,16920,2021-01-06 17:00:00,39.52,86.74,17.66,0.85,23.83,17.68
14663,16921,2021-01-06 18:00:00,40.38,85.65,18.83,0.91,12.12,25.09
14664,16922,2021-01-06 19:00:00,40.66,90.79,16.17,0.91,6.01,24.26
14665,16923,2021-01-06 20:00:00,41.3,96.38,14.98,0.92,2.32,23.94
14666,16924,2021-01-06 21:00:00,44.28,99.79,13.6,0.88,2.12,18.78
14667,16925,2021-01-06 22:00:00,44.12,97.88,12.69,0.88,1.39,21.39
14668,16926,2021-01-06 23:00:00,43.4,95.3,10.32,0.84,1.36,16.2
14669,16927,2021-01-07 00:00:00,41.04,86.29,9.48,0.82,1.38,15.55
14670,16928,2021-01-07 01:00:00,40.67,78.0,9.43,0.81,1.37,14.12
14671,16929,2021-01-07 02:00:00,38.48,69.29,9.22,0.81,1.38,13.58
14672,16930,2021-01-07 03:00:00,35.84,65.02,9.66,0.81,1.38,12.79
14673,16931,2021-01-07 04:00:00,31.23,63.24,9.66,0.81,1.41,13.64
14674,16932,2021-01-07 05:00:00,31.84,64.89,10.38,0.82,1.39,15.4
14675,16933,2021-01-07 06:00:00,32.07,70.96,11.23,0.85,1.37,22.62
14676,16934,2021-01-07 07:00:00,34.31,72.7,12.95,0.89,1.75,28.91
14677,16935,2021-01-07 08:00:00,38.01,73.01,12.43,0.88,4.65,24.42
14678,16936,2021-01-07 09:00:00,38.87,79.14,13.06,0.84,11.29,15.31
14679,16937,2021-01-07 10:00:00,40.23,83.26,11.9,0.82,15.04,13.45
14680,16938,2021-01-07 11:00:00,43.93,84.19,11.83,0.82,24.07,13.66
14681,16939,2021-01-07 12:00:00,46.22,86.71,11.33,0.81,40.49,14.49
14682,16940,2021-01-07 13:00:00,43.56,86.54,12.95,0.81,40.44,15.43
14683,16941,2021-01-07 14:00:00,39.9,81.28,11.63,0.81,40.46,16.13
14684,16942,2021-01-07 15:00:00,39.38,86.56,22.8,0.82,40.5,17.46
14685,16943,2021-01-07 16:00:00,41.25,86.33,17.29,0.82,29.04,14.45
14686,16944,2021-01-07 17:00:00,40.89,84.81,14.2,0.84,18.75,14.93
14687,16945,2021-01-07 18:00:00,44.34,97.27,23.9,1.12,10.25,36.92
14688,16946,2021-01-07 19:00:00,45.76,119.2,20.9,0.99,6.86,32.66
14689,16947,2021-01-07 20:00:00,44.58,122.36,14.88,0.87,2.29,21.69
14690,16948,2021-01-07 21:00:00,42.46,106.23,15.52,0.94,2.27,29.82
14691,16949,2021-01-07 22:00:00,39.15,99.94,14.82,0.95,2.28,32.14
14692,16950,2021-01-07 23:00:00,42.04,101.32,12.69,0.86,2.32,21.54
14693,16951,2021-01-08 00:00:00,38.43,87.63,11.49,0.84,2.25,18.5
14694,16952,2021-01-08 01:00:00,36.05,84.28,11.44,0.83,2.26,19.27
14695,16953,2021-01-08 02:00:00,35.44,80.66,11.28,0.83,2.3,17.91
14696,16954,2021-01-08 03:00:00,36.43,76.1,10.95,0.83,2.32,19.1
14697,16955,2021-01-08 04:00:00,37.22,78.61,10.58,0.82,2.35,18.73
14698,16956,2021-01-08 05:00:00,39.35,76.2,11.09,0.82,2.25,16.7
14699,16957,2021-01-08 06:00:00,42.66,74.81,11.98,0.83,2.31,19.02
14700,16958,2021-01-08 07:00:00,43.22,77.66,13.87,0.87,2.31,21.26
14701,16959,2021-01-08 08:00:00,46.4,82.33,15.51,0.94,4.57,25.3
14702,16960,2021-01-08 09:00:00,49.23,92.13,13.93,0.9,11.21,22.26
14703,16961,2021-01-08 10:00:00,50.92,102.39,13.02,0.86,22.28,19.76
14704,16962,2021-01-08 11:00:00,52.62,103.95,19.34,0.86,35.33,20.14
14705,16963,2021-01-08 12:00:00,56.87,108.95,15.76,0.85,42.21,18.5
14706,16964,2021-01-08 13:00:00,55.68,106.66,14.24,0.84,43.26,17.65
14707,16965,2021-01-08 14:00:00,54.05,104.66,12.97,0.84,43.26,17.34
14708,16966,2021-01-08 15:00:00,53.41,99.82,12.12,0.84,43.34,17.65
14709,16967,2021-01-08 16:00:00,53.41,94.93,10.81,0.84,37.95,17.75
14710,16968,2021-01-08 17:00:00,50.75,95.39,12.22,0.85,21.21,18.23
14711,16969,2021-01-08 18:00:00,51.14,98.99,13.46,0.88,15.32,21.41
14712,16970,2021-01-08 19:00:00,51.21,103.68,12.26,0.84,8.52,18.54
14713,16971,2021-01-08 20:00:00,46.9,100.45,11.07,0.82,6.35,16.36
14714,16972,2021-01-08 21:00:00,40.15,89.03,10.9,0.82,5.64,15.83
14715,16973,2021-01-08 22:00:00,36.83,83.44,10.31,0.82,2.3,15.91
14716,16974,2021-01-08 23:00:00,35.36,77.58,9.52,0.82,2.28,17.07
14717,16975,2021-01-09 00:00:00,34.37,74.66,8.87,0.81,2.29,16.05
14718,16976,2021-01-09 01:00:00,34.55,72.76,9.01,0.81,2.28,17.41
14719,16977,2021-01-09 02:00:00,35.51,71.41,8.82,0.81,2.28,18.31
14720,16978,2021-01-09 03:00:00,34.54,71.15,8.99,0.81,2.25,18.38
14721,16979,2021-01-09 04:00:00,36.2,73.15,8.71,0.81,2.29,19.42
14722,16980,2021-01-09 05:00:00,35.88,73.47,9.67,0.82,2.35,19.44
14723,16981,2021-01-09 06:00:00,39.22,80.05,11.99,0.84,2.31,19.61
14724,16982,2021-01-09 07:00:00,44.03,81.39,13.3,0.87,2.28,20.49
14725,16983,2021-01-09 08:00:00,46.4,84.16,13.31,0.91,2.31,22.56
14726,16984,2021-01-09 09:00:00,48.29,97.03,13.19,0.89,7.7,21.59
14727,16985,2021-01-09 10:00:00,57.38,108.84,10.81,0.83,20.49,15.46
14728,16986,2021-01-09 11:00:00,58.17,114.35,9.69,0.81,34.3,13.42
14729,16987,2021-01-09 12:00:00,60.75,107.39,9.77,0.81,39.77,16.31
14730,16988,2021-01-09 13:00:00,59.3,103.57,20.09,0.8,40.22,24.81
14731,16989,2021-01-09 14:00:00,55.48,95.84,20.32,0.8,40.25,15.23
14732,16990,2021-01-09 15:00:00,49.19,91.92,16.72,0.8,40.29,13.92
14733,16991,2021-01-09 16:00:00,49.21,90.68,14.38,0.8,35.34,13.73
14734,16992,2021-01-09 17:00:00,50.5,92.52,15.46,0.82,24.59,14.76
14735,16993,2021-01-09 18:00:00,50.89,98.2,15.42,0.84,17.29,16.64
14736,16994,2021-01-09 19:00:00,48.69,98.21,14.87,0.85,6.85,17.1
14737,16995,2021-01-09 20:00:00,46.91,100.18,14.32,0.85,2.32,18.21
14738,16996,2021-01-09 21:00:00,48.03,97.75,13.32,0.85,2.3,18.7
14739,16997,2021-01-09 22:00:00,47.34,94.75,11.98,0.84,2.34,19.11
14740,16998,2021-01-09 23:00:00,46.83,92.85,11.19,0.84,2.32,20.22
14741,16999,2021-01-10 00:00:00,49.09,92.87,10.13,0.83,2.25,19.07
14742,17000,2021-01-10 01:00:00,46.35,91.35,10.21,0.81,2.29,14.52
14743,17001,2021-01-10 02:00:00,44.77,83.43,9.83,0.79,2.28,13.68
14744,17002,2021-01-10 03:00:00,43.01,78.45,9.74,0.8,2.28,13.09
14745,17003,2021-01-10 04:00:00,39.6,75.3,9.58,0.8,2.3,12.99
14746,17004,2021-01-10 05:00:00,37.06,69.94,9.68,0.79,2.31,12.42
14747,17005,2021-01-10 06:00:00,36.74,69.68,9.77,0.79,2.26,11.69
14748,17006,2021-01-10 07:00:00,34.72,71.62,9.79,0.79,2.32,11.1
14749,17007,2021-01-10 08:00:00,38.93,70.9,9.6,0.79,2.31,11.75
14750,17008,2021-01-10 09:00:00,41.12,72.59,9.08,0.78,2.33,11.5
14751,17009,2021-01-10 10:00:00,40.45,73.6,8.79,0.77,15.66,10.6
14752,17010,2021-01-10 11:00:00,44.94,76.48,9.34,0.76,26.55,9.86
14753,17011,2021-01-10 12:00:00,47.36,78.92,9.41,0.76,40.04,10.14
14754,17012,2021-01-10 13:00:00,43.42,74.62,9.96,0.76,42.3,11.09
14755,17013,2021-01-10 14:00:00,45.33,75.34,10.12,0.76,42.3,16.12
14756,17014,2021-01-10 15:00:00,41.0,74.66,14.18,0.76,37.84,14.99
14757,17015,2021-01-10 16:00:00,40.82,74.33,16.41,0.76,31.36,11.56
14758,17016,2021-01-10 17:00:00,38.85,74.33,16.34,0.77,19.52,10.67
14759,17017,2021-01-10 18:00:00,40.95,77.09,18.72,0.89,10.33,22.36
14760,17018,2021-01-10 19:00:00,44.41,82.69,28.14,1.21,4.55,43.03
14761,17019,2021-01-10 20:00:00,47.68,102.32,30.15,1.27,2.29,42.44
14762,17020,2021-01-10 21:00:00,55.59,124.22,16.98,0.93,2.3,31.46
14763,17021,2021-01-10 22:00:00,52.75,118.48,14.62,0.88,2.3,24.12
14764,17022,2021-01-10 23:00:00,49.27,105.0,11.01,0.79,2.33,12.68
14765,17023,2021-01-11 00:00:00,46.08,94.78,10.68,0.78,2.29,11.19
14766,17024,2021-01-11 01:00:00,43.38,85.81,11.43,0.78,2.32,11.57
14767,17025,2021-01-11 02:00:00,39.68,73.53,11.03,0.77,2.32,11.24
14768,17026,2021-01-11 03:00:00,36.77,66.78,10.75,0.76,2.28,11.42
14769,17027,2021-01-11 04:00:00,35.33,63.07,10.29,0.76,2.28,10.95
14770,17028,2021-01-11 05:00:00,32.22,61.53,10.31,0.76,2.36,11.64
14771,17029,2021-01-11 06:00:00,30.96,62.55,9.66,0.76,2.27,10.98
14772,17030,2021-01-11 07:00:00,34.04,62.72,10.47,0.77,2.3,11.06
14773,17031,2021-01-11 08:00:00,32.99,59.05,10.38,0.78,3.99,11.42
14774,17032,2021-01-11 09:00:00,33.7,60.6,9.96,0.75,11.02,10.45
14775,17033,2021-01-11 10:00:00,36.25,60.34,9.97,0.75,22.11,10.13
14776,17034,2021-01-11 11:00:00,33.52,63.91,9.41,0.75,29.96,11.46
14777,17035,2021-01-11 12:00:00,34.28,71.48,8.36,0.73,37.26,9.65
14778,17036,2021-01-11 13:00:00,34.11,75.71,9.6,0.72,37.29,9.2
14779,17037,2021-01-11 14:00:00,36.12,70.57,9.66,0.72,37.31,9.42
14780,17038,2021-01-11 15:00:00,33.07,70.7,13.62,0.72,34.91,20.17
14781,17039,2021-01-11 16:00:00,32.39,66.76,23.33,0.72,30.64,17.65
14782,17040,2021-01-11 17:00:00,33.17,67.11,19.98,0.73,22.96,12.98
14783,17041,2021-01-11 18:00:00,33.87,71.05,26.74,1.04,16.59,32.65
14784,17042,2021-01-11 19:00:00,35.61,89.01,29.39,1.21,4.7,44.9
14785,17043,2021-01-11 20:00:00,40.77,113.61,14.37,0.89,2.29,31.35
14786,17044,2021-01-11 21:00:00,39.98,114.66,12.75,0.79,2.28,20.91
14787,17045,2021-01-11 22:00:00,39.7,102.64,11.57,0.76,2.27,16.79
14788,17046,2021-01-11 23:00:00,39.4,87.79,10.97,0.76,2.32,14.9
14789,17047,2021-01-12 00:00:00,38.91,86.84,10.52,0.78,2.33,24.83
14790,17048,2021-01-12 01:00:00,37.04,83.38,10.69,0.76,2.27,27.58
14791,17049,2021-01-12 02:00:00,34.68,76.74,10.31,0.76,2.28,26.84
14792,17050,2021-01-12 03:00:00,31.59,73.03,9.75,0.73,2.31,18.94
14793,17051,2021-01-12 04:00:00,32.8,69.29,8.46,0.72,2.29,15.7
14794,17052,2021-01-12 05:00:00,29.12,67.44,7.97,0.72,2.35,15.22
14795,17053,2021-01-12 06:00:00,28.16,69.14,7.94,0.72,2.3,14.51
14796,17054,2021-01-12 07:00:00,30.5,63.94,8.35,0.72,2.29,14.77
14797,17055,2021-01-12 08:00:00,31.39,64.95,8.68,0.72,4.85,14.59
14798,17056,2021-01-12 09:00:00,32.38,64.73,10.7,0.7,15.52,11.31
14799,17057,2021-01-12 10:00:00,30.85,62.25,11.98,0.7,25.06,11.07
14800,17058,2021-01-12 11:00:00,28.09,67.43,12.13,0.7,30.23,10.63
14801,17059,2021-01-12 12:00:00,28.71,73.45,10.15,0.69,40.87,10.61
14802,17060,2021-01-12 13:00:00,29.18,70.24,9.66,0.7,46.28,11.48
14803,17061,2021-01-12 14:00:00,31.42,68.08,9.71,0.7,46.28,12.09
14804,17062,2021-01-12 15:00:00,29.28,60.34,9.84,0.69,46.27,12.3
14805,17063,2021-01-12 16:00:00,25.98,56.25,11.79,0.69,36.87,13.22
14806,17065,2021-01-12 18:00:00,34.1,99.22,26.12,1.12,16.59,43.5
14807,17066,2021-01-12 19:00:00,31.02,108.69,30.87,1.38,11.99,52.6
14808,17067,2021-01-12 20:00:00,35.13,121.96,28.86,1.46,4.58,54.24
14809,17068,2021-01-12 21:00:00,40.41,145.44,23.89,1.25,2.34,48.74
14810,17069,2021-01-12 22:00:00,51.09,162.76,20.94,1.17,2.3,43.97
14811,17070,2021-01-12 23:00:00,68.39,166.81,16.27,1.03,0.25,41.57
14812,17071,2021-01-13 00:00:00,67.35,163.34,15.35,0.99,0.07,36.38
14813,17072,2021-01-13 01:00:00,62.22,146.64,13.48,0.91,0.07,32.85
14814,17073,2021-01-13 02:00:00,56.49,128.18,12.02,0.85,0.07,31.3
14815,17074,2021-01-13 03:00:00,54.5,110.39,10.95,0.79,0.07,28.29
14816,17075,2021-01-13 04:00:00,48.94,81.53,10.36,0.74,0.07,25.95
14817,17076,2021-01-13 05:00:00,41.45,69.28,10.12,0.73,0.07,21.21
14818,17077,2021-01-13 06:00:00,36.02,68.07,9.48,0.74,0.07,13.55
14819,17078,2021-01-13 07:00:00,33.44,67.14,9.75,0.74,1.75,14.56
14820,17079,2021-01-13 08:00:00,31.29,61.58,10.63,0.73,8.2,13.22
14821,17080,2021-01-13 09:00:00,30.25,60.38,11.91,0.71,14.31,10.95
14822,17081,2021-01-13 10:00:00,29.41,61.12,12.32,0.7,25.21,10.28
14823,17084,2021-01-13 13:00:00,7.72,65.47,8.68,0.6,51.03,13.18
14824,17085,2021-01-13 14:00:00,18.7,64.62,8.69,0.6,52.35,14.4
14825,17086,2021-01-13 15:00:00,17.91,60.71,8.77,0.6,48.42,14.66
14826,17087,2021-01-13 16:00:00,16.82,56.43,8.54,0.61,43.32,15.64
14827,17088,2021-01-13 17:00:00,15.6,53.9,8.48,0.62,26.15,16.44
14828,17089,2021-01-13 18:00:00,18.65,56.06,11.22,0.81,11.87,44.03
14829,17090,2021-01-13 19:00:00,23.79,81.18,16.66,1.11,3.58,76.48
14830,17091,2021-01-13 20:00:00,33.75,109.03,15.12,1.06,3.27,76.0
14831,17092,2021-01-13 21:00:00,41.62,122.81,14.62,1.01,3.32,72.98
14832,17093,2021-01-13 22:00:00,44.4,124.16,13.66,0.98,3.37,71.83
14833,17094,2021-01-13 23:00:00,48.02,124.91,14.45,1.0,3.24,70.22
14834,17095,2021-01-14 00:00:00,52.11,124.84,10.43,0.86,3.29,65.27
14835,17096,2021-01-14 01:00:00,56.65,122.52,8.46,0.74,3.31,54.34
14836,17097,2021-01-14 02:00:00,56.44,111.64,8.05,0.67,3.32,26.75
14837,17098,2021-01-14 03:00:00,51.86,94.15,8.29,0.65,3.35,18.19
14838,17099,2021-01-14 04:00:00,48.66,74.09,8.25,0.64,3.31,16.1
14839,17100,2021-01-14 05:00:00,45.47,57.97,8.4,0.63,3.25,14.59
14840,17101,2021-01-14 06:00:00,33.54,46.13,8.65,0.62,3.27,13.74
14841,17102,2021-01-14 07:00:00,34.11,50.89,9.16,0.64,3.27,13.44
14842,17103,2021-01-14 08:00:00,35.9,50.78,9.58,0.64,8.14,13.97
14843,17104,2021-01-14 09:00:00,35.17,52.88,10.55,0.62,19.93,13.0
14844,17105,2021-01-14 10:00:00,31.8,53.24,9.78,0.61,29.28,12.18
14845,17106,2021-01-14 11:00:00,29.66,43.88,9.43,0.61,36.68,12.43
14846,17107,2021-01-14 12:00:00,28.2,40.05,8.91,0.6,42.29,10.69
14847,17108,2021-01-14 13:00:00,28.48,41.82,9.77,0.6,42.27,10.98
14848,17109,2021-01-14 14:00:00,25.2,36.86,10.08,0.6,42.27,11.23
14849,17110,2021-01-14 15:00:00,22.43,36.04,10.07,0.6,42.26,11.65
14850,17111,2021-01-14 16:00:00,21.07,35.93,10.12,0.61,42.31,11.43
